lat,lon,title,type,link 
54.41,18.57,Oliwa,Tramwaj,
54.41,18.57,Oliwa,Tramwaj,
54.41,18.56,Obrońców Westerplatte,Tramwaj,
54.41,18.56,Obrońców Westerplatte,Tramwaj,
54.41,18.56,Derdowskiego,Tramwaj,
54.41,18.56,Derdowskiego,Tramwaj,
54.4,18.57,Tetmajera,Tramwaj,
54.4,18.57,Tetmajera,Tramwaj,
54.4,18.57,Bażyńskiego,Tramwaj,
54.4,18.57,Bażyńskiego,Tramwaj,
54.4,18.57,Uniwersytet Gdański,Tramwaj,
54.4,18.57,Uniwersytet Gdański,Tramwaj,
54.39,18.58,Strzyża PKM,Tramwaj,
54.39,18.58,Strzyża PKM,Tramwaj,
54.39,18.58,Zajezdnia,Tramwaj,
54.39,18.58,Zajezdnia,Tramwaj,
54.39,18.58,Zamenhofa,Tramwaj,
54.39,18.59,Zamenhofa,Tramwaj,
54.39,18.59,Wojska Polskiego,Tramwaj,
54.39,18.59,Wojska Polskiego,Tramwaj,
54.38,18.6,Galeria Bałtycka,Tramwaj,
54.38,18.6,Galeria Bałtycka,Tramwaj,
54.38,18.6,Klonowa,Tramwaj,
54.38,18.6,Klonowa,Tramwaj,
54.38,18.61,Jaśkowa Dolina,Tramwaj,
54.38,18.61,Jaśkowa Dolina,Tramwaj,
54.38,18.62,Miszewskiego,Tramwaj,
54.38,18.62,Miszewskiego,Tramwaj,
54.37,18.62,Politechnika,Tramwaj,
54.37,18.62,Politechnika,Tramwaj,
54.37,18.62,Opera Bałtycka,Tramwaj,
54.37,18.62,Opera Bałtycka,Tramwaj,
54.37,18.62,Opera Bałtycka,Tramwaj,
54.37,18.63,Traugutta,Tramwaj,
54.37,18.63,Traugutta,Tramwaj,
54.37,18.63,Uniwersytet Medyczny,Tramwaj,
54.37,18.63,Uniwersytet Medyczny,Tramwaj,
54.36,18.64,Chodowieckiego,Tramwaj,
54.36,18.64,Chodowieckiego,Tramwaj,
54.36,18.64,Brama Oliwska,Tramwaj,
54.36,18.64,Brama Oliwska,Tramwaj,
54.36,18.65,Dworzec Główny,Tramwaj,
54.36,18.65,Dworzec Główny,Tramwaj,
54.32,18.61,Łostowice Świętokrzyska,Tramwaj,
54.34,18.62,Chełm Witosa,Tramwaj,
54.39,18.58,Strzyża PKM,Tramwaj,
54.4,18.67,Nowy Port Oliwska,Tramwaj,
54.37,18.73,Stogi Plaża,Tramwaj,
54.36,18.72,Stogi (techniczny),Tramwaj,
54.4,18.59,Zaspa,Tramwaj,
54.4,18.6,Zaspa,Tramwaj,
54.41,18.57,Oliwa,Tramwaj,
54.42,18.59,Jelitkowo,Tramwaj,
