lat,lon,title,type,link 
54.34,18.6,Osiedle Jary,Autobus,
54.31,18.6,Knyszyńska,Autobus,
54.31,18.6,Szmaragdowa,Autobus,
54.32,18.55,Czermińskiego,Autobus,
54.35,18.55,Staw Wróbla ,Autobus,
54.32,18.55,Przywidzka,Autobus,
54.35,18.56,Zacna,Autobus,
54.35,18.56,Zacna,Autobus,
54.35,18.57,Wołkowyska,Autobus,
54.35,18.57,Wołkowyska,Autobus,
54.35,18.61,Suchanino,Autobus,
54.36,18.62,Nad Jarem,Autobus,
54.37,18.5,Sąsiedzka (N/Ż),Autobus,
54.37,18.5,Sąsiedzka (N/Ż),Autobus,
54.34,18.85,Turystyczna (N/Ż),Autobus,
54.36,18.65,Heweliusza,Autobus,
54.35,18.65,Katarzynki,Autobus,
54.35,18.66,Żuraw,Autobus,
54.35,18.65,Targ Chlebowy,Autobus,
54.35,18.65,Targ Drzewny,Autobus,
54.34,18.86,Forsycji (N/Ż),Autobus,
54.33,18.54,Połczyńska,Autobus,
54.33,18.54,Połczyńska,Autobus,
54.33,18.55,Potęgowska (N/Ż),Autobus,
54.33,18.55,Potęgowska (N/Ż),Autobus,
54.33,18.54,Lubowidzka (N/Ż),Autobus,
54.33,18.54,Lubowidzka (N/Ż),Autobus,
54.32,18.54,Szadółki Obwodnica (N/Ż),Autobus,
54.32,18.54,Szadółki Obwodnica (N/Ż),Autobus,
54.38,18.52,Złota Karczma,Autobus,
54.46,18.55,Kamienny Potok SKM,Autobus,
54.35,18.48,Stokłosy (N/Ż),Autobus,
54.32,18.59,Liliowa,Autobus,
54.32,18.59,Liliowa,Autobus,
54.34,18.5,Łapińska (N/Ż),Autobus,
54.34,18.5,Łapińska (N/Ż),Autobus,
54.39,18.59,Wojska Polskiego,Autobus,
54.35,18.51,Karczemki,Autobus,
54.39,18.58,Abrahama ,Autobus,
54.39,18.58,Abrahama ,Autobus,
54.4,18.58,Przymorze SKM,Autobus,
54.45,18.56,Wejherowska,Autobus,
54.4,18.58,Przymorze SKM,Autobus,
54.32,18.59,Wieżycka,Autobus,
54.32,18.59,Wieżycka,Autobus,
54.42,18.48,Wodnika (N/Ż),Autobus,
54.42,18.48,Wodnika (N/Ż),Autobus,
54.42,18.47,Keplera (N/Ż),Autobus,
54.42,18.47,Keplera (N/Ż),Autobus,
54.34,18.62,Sikorskiego,Autobus,
54.25,18.63,Pruszcz Fabryczny (N/Ż),Autobus,
54.35,18.58,Migowo,Autobus,
54.25,18.63,Pruszcz Batalionów Chłopskich,Autobus,
54.33,18.64,Głucha,Autobus,
54.26,18.65,Pruszcz Żwirki i Wigury,Autobus,
54.27,18.66,Pruszcz Osiedle Kasprowicza,Autobus,
54.33,18.64,Kolonia Mysia (N/Ż),Autobus,
54.27,18.66,Pruszcz Osiedle Kasprowicza,Autobus,
54.33,18.65,Przybrzeżna (N/Ż),Autobus,
54.33,18.66,Olszyńska ,Autobus,
54.4,18.59,Hynka ,Autobus,
54.4,18.59,Hynka ,Autobus,
54.42,18.45,Oriona (N/Ż),Autobus,
54.35,18.81,Sobieszewska (N/Ż),Autobus,
54.35,18.82,Sobieszewska (N/Ż),Autobus,
54.42,18.59,Pomorska,Autobus,
54.42,18.58,Gospody,Autobus,
54.33,18.67,Stokrotki,Autobus,
54.34,18.84,Falowa (N/Ż),Autobus,
54.31,18.6,Srebrna,Autobus,
54.31,18.6,Srebrna,Autobus,
54.39,18.61,Rozstaje,Autobus,
54.39,18.61,Rozstaje,Autobus,
54.34,18.62,Sikorskiego,Autobus,
54.39,18.59,Zaspa SKM,Autobus,
54.37,18.47,"Ogrody Działkowe ""Rębiechowo"" III (N/Ż)",Autobus,
54.39,18.48,Radiowa (N/Ż),Autobus,
54.39,18.47,Spadochroniarzy,Autobus,
54.38,18.56,Góralska (N/Ż),Autobus,
54.38,18.56,Góralska (N/Ż),Autobus,
54.26,18.65,Pruszcz Wiśniewskiego,Autobus,
54.32,18.61,Świętokrzyska (N/Ż),Autobus,
54.32,18.6,Świętokrzyska (N/Ż),Autobus,
54.27,18.65,Pruszcz Wiśniewskiego,Autobus,
54.41,18.58,Beniowskiego,Autobus,
54.27,18.66,Pruszcz Obrońców Westerplatte,Autobus,
54.41,18.58,Beniowskiego,Autobus,
54.27,18.66,Pruszcz Obrońców Westerplatte,Autobus,
54.39,18.6,Kilińskiego,Autobus,
54.26,18.65,Pruszcz Żwirki i Wigury,Autobus,
